"sample_name","genus_tax_id","name","category","nt_rpm","nt_count","nt_alignment_length","nr_count","p_adj"
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium riegelii","bacteria",21.94360162,1134,123.97,1911,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium atypicum","bacteria",19.35061871,1000,204.788,224,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium imitans","bacteria",24.73009072,1278,135.01,855,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium genitalium","bacteria",0.774024749,40,146,774,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium sp. zg-913","bacteria",9.752711832,504,109.523,369,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium diphtheriae","bacteria",17.35750499,897,195.869,1518,6.68057656286212e-33
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium glucuronolyticum","bacteria",8.088558623,418,101.756,320,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium mycetoides","bacteria",9.210894508,476,153.321,530,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium sanguinis","bacteria",5.592328809,289,100.641,534,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium sp. MC1420","bacteria",6.6179116,342,119.773,249,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium glutamicum","bacteria",21.16957687,1094,910.657,146,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium timonense","bacteria",7.353235112,380,99.1739,370,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium vitaeruminis","bacteria",9.172193271,474,221.287,366,5.15121685328786e-104
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium ureicelerivorans","bacteria",10.81699586,559,88.0255,354,5.8754603802448e-08
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium singulare","bacteria",28.21320209,1458,137.571,287,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium cystitidis","bacteria",2.283373008,118,92.5854,244,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium efficiens","bacteria",0.793375367,41,77.7222,229,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium doosanense","bacteria",1.528698878,79,96.5238,212,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium sp. ATCC 6931","bacteria",17.84127046,922,119.46,153,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium stationis","bacteria",2.941294045,152,101.974,200,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium maris","bacteria",3.173501469,164,80.6765,43,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium endometrii","bacteria",1.625451972,84,80.3462,101,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium sp. Marseille-Q3630","bacteria",3.3089558,171,105.065,33,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium camporealensis","bacteria",3.46376075,179,112.729,125,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium phocae","bacteria",1.935061871,100,99.2759,114,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium sp. NML98-0116","bacteria",6.908170881,357,107.738,52,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium lactis","bacteria",1.083634648,56,102.368,113,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium pseudotuberculosis","bacteria",2.031814965,105,87.9474,105,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium callunae","bacteria",0.232207425,12,72.75,93,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium testudinoris","bacteria",2.457528577,127,78.6,94,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium sp. 2039","bacteria",0.561167943,29,99.5714,72,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium sp. LMM-1652","bacteria",2.051165584,106,177.935,11,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium ammoniagenes","bacteria",1.35454331,70,95.375,86,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium argentoratense","bacteria",0.503116087,26,198.25,66,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium ulcerans","bacteria",8.224012954,425,169.53,78,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium resistens","bacteria",6.037393039,312,121.317,71,0
